City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Muisne,EC,0.6,-80.0333,75.76,88,66,4.29,light rain
275,Constitucion,CL,-35.3333,-72.4167,57.69,78,0,2.21,clear sky
276,Amarante,BR,-6.2411,-42.8547,73.78,89,56,1.66,broken clouds
277,Dhidhdhoo,MV,6.8833,73.1,80.53,69,12,9.55,few clouds
278,Cap-Aux-Meules,CA,47.3821,-61.8597,14.02,73,100,4.61,overcast clouds
279,Damavand,IR,35.7178,52.065,28.24,69,99,4.59,overcast clouds
280,Sheridan,US,44.8333,-106.9173,36.91,56,0,6.91,clear sky
281,Paamiut,GL,61.994,-49.6678,10.99,80,100,31.38,light snow
282,Bubaque,GW,11.2833,-15.8333,76.21,70,13,8.57,few clouds
283,Vilyuysk,RU,63.7553,121.6247,-16.56,95,100,7.31,overcast clouds
284,Klyuchi,RU,52.2667,79.1667,6.19,75,3,7.18,clear sky
285,Kawalu,ID,-7.3817,108.2082,78.37,80,100,4.18,overcast clouds
286,Caceres,ES,39.522,-6.3748,37.8,77,8,4.41,clear sky
287,Pascagoula,US,30.3658,-88.5561,41.04,93,0,0.0,clear sky
288,Cherskiy,RU,68.75,161.3,-29.07,100,33,1.45,scattered clouds
289,Ekibastuz,KZ,51.6667,75.3667,10.31,71,9,7.76,clear sky
290,Ossora,RU,59.2353,163.0719,11.82,89,100,10.83,light snow
291,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.63,88,2,16.71,clear sky
292,Bhawanipatna,IN,19.9,83.1667,74.05,30,79,2.35,broken clouds
293,Khani,GE,41.9563,42.9566,24.37,86,89,5.82,overcast clouds
294,Egvekinot,RU,66.3167,-179.1667,-14.8,86,2,10.76,clear sky
295,Mananjary,MG,-21.2167,48.3333,76.91,94,99,4.07,overcast clouds
296,Yining,CN,29.0361,114.5636,37.51,100,100,2.51,overcast clouds
297,Rock Springs,US,41.5875,-109.2029,25.05,64,0,5.99,clear sky
298,Askino,RU,56.0901,56.5783,10.85,97,100,2.24,overcast clouds
299,Genc,TR,38.7507,40.5603,10.27,82,9,3.67,clear sky
300,Bloemhof,ZA,-27.6469,25.607,63.07,69,44,7.83,scattered clouds
301,Plettenberg Bay,ZA,-34.0527,23.3716,67.96,66,0,4.09,clear sky
302,Klaksvik,FO,62.2266,-6.589,29.32,48,100,10.09,overcast clouds
303,Axim,GH,4.8699,-2.2405,77.72,88,86,4.21,overcast clouds
304,Quatre Cocos,MU,-20.2078,57.7625,79.09,79,97,9.82,overcast clouds
305,Moerai,PF,-22.4333,-151.3333,80.02,76,84,15.66,light rain
306,College,US,64.8569,-147.8028,-4.41,77,75,0.0,broken clouds
307,Taber,CA,49.8167,-112.1518,43.0,42,55,13.8,broken clouds
308,Jasper,US,37.2001,-94.3502,33.98,75,0,0.0,clear sky
309,Zhanakorgan,KZ,43.9098,67.2495,29.16,91,54,7.38,broken clouds
310,Olkhovka,RU,53.2115,60.6069,9.7,94,100,4.47,overcast clouds
311,Puerto Colombia,CO,10.9878,-74.9547,78.89,81,0,26.4,clear sky
312,Laguna,US,38.421,-121.4238,57.31,70,0,4.61,clear sky
313,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,80,22,12.84,few clouds
314,Ahuimanu,US,21.4447,-157.8378,80.31,71,20,4.0,few clouds
315,Preston,GB,53.7667,-2.7167,41.74,88,7,4.81,clear sky
316,Disna,BY,55.568,28.1971,33.03,98,100,15.64,light snow
317,Lavrentiya,RU,65.5833,-171.0,-18.74,94,58,7.56,broken clouds
318,Sorland,NO,67.667,12.6934,39.7,67,100,21.45,overcast clouds
319,Kodiak,US,57.79,-152.4072,35.11,51,0,17.27,clear sky
320,Krasnoarmeyskiy,RU,47.0114,42.2072,25.88,96,95,8.52,overcast clouds
321,Lagoa,PT,39.05,-27.9833,59.5,84,6,16.98,clear sky
322,Harper,LR,4.375,-7.7169,78.75,83,100,5.79,overcast clouds
323,Kendari,ID,-3.945,122.4989,85.08,72,81,10.45,heavy intensity rain
324,Westport,US,41.1415,-73.3579,31.8,77,100,1.99,overcast clouds
325,Bayburt,TR,40.2589,40.2278,4.3,96,100,3.58,overcast clouds
326,Bud,US,39.447,-86.1758,28.35,87,100,5.82,overcast clouds
327,Umm Lajj,SA,25.0213,37.2685,64.69,35,0,15.66,clear sky
328,Tiksi,RU,71.6872,128.8694,-17.91,98,100,6.55,overcast clouds
329,Vestmanna,FO,62.1564,-7.1664,27.52,69,75,1.14,broken clouds
330,Dingle,PH,10.9995,122.6711,84.38,62,38,15.14,scattered clouds
331,Almaznyy,RU,48.0448,40.045,30.34,92,71,7.36,light snow
332,Chateaubelair,VC,13.2833,-61.25,77.61,81,88,13.33,overcast clouds
333,Bathsheba,BB,13.2167,-59.5167,77.61,83,75,12.66,broken clouds
334,Naantali,FI,60.4674,22.0243,30.85,100,100,3.44,fog
335,Teya,RU,60.3778,92.6267,4.66,98,94,3.09,overcast clouds
336,Nara,JP,34.6851,135.8049,47.97,43,95,8.21,overcast clouds
337,Souillac,MU,-20.5167,57.5167,78.37,80,100,10.87,overcast clouds
338,Aguimes,ES,27.9054,-15.4461,61.43,72,20,18.41,few clouds
339,Rognan,NO,67.0953,15.3878,27.88,76,100,2.82,overcast clouds
340,Ola,RU,59.5833,151.2833,12.15,67,43,9.84,scattered clouds
341,Blairmore,CA,49.6,-114.4353,40.12,55,100,4.61,overcast clouds
342,Qaqortoq,GL,60.7167,-46.0333,10.9,56,100,35.86,overcast clouds
343,Sakakah,SA,29.9697,40.2064,40.57,61,0,4.41,clear sky
344,Elko,US,41.0002,-115.5012,28.42,52,0,4.0,clear sky
345,Bonavista,CA,48.6499,-53.1147,12.11,64,53,18.1,broken clouds
346,Jiaojiang,CN,28.6803,121.4428,45.0,98,100,5.01,light rain
347,Ginir,ET,7.1333,40.7,55.87,28,37,3.04,scattered clouds
