City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
337,Souillac,MU,78.37,overcast clouds,-20.5167,57.5167,
348,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,
354,Sola,VU,82.6,light rain,-13.8833,167.55,
356,Kruisfontein,ZA,68.23,clear sky,-34.0033,24.7314,
357,Kiama,AU,74.37,scattered clouds,-34.6833,150.8667,
358,Puerto Quijarro,BO,72.64,overcast clouds,-17.7833,-57.7667,
360,Broken Hill,AU,83.91,scattered clouds,-31.95,141.4333,
363,Vinh,VN,73.18,scattered clouds,18.6667,105.6667,
367,Iquitos,PE,77.04,scattered clouds,-3.7481,-73.2472,
371,Praia,CV,68.54,clear sky,14.9215,-23.5087,
372,Sao Paulo De Olivenca,BR,72.52,overcast clouds,-3.3783,-68.8725,
373,Vanimo,PG,82.51,light rain,-2.6741,141.3028,
375,Chitrakonda,IN,75.24,overcast clouds,18.1167,82.0833,
378,Yenagoa,NG,74.95,few clouds,4.9247,6.2642,
383,Banda Aceh,ID,78.76,overcast clouds,5.5577,95.3222,
385,Ciudad Bolivar,VE,77.54,scattered clouds,8.1222,-63.5497,
386,Marsh Harbour,BS,73.78,scattered clouds,26.5412,-77.0636,
387,Nyangao,TZ,72.81,overcast clouds,-10.3333,39.2833,
388,Huarmey,PE,71.2,overcast clouds,-10.0681,-78.1522,
397,Charters Towers,AU,83.16,overcast clouds,-20.1,146.2667,
400,Aripuana,BR,72.03,overcast clouds,-9.1667,-60.6333,
407,Senador Guiomard,BR,73.15,moderate rain,-10.1522,-67.7392,
408,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,
415,Oranjestad,AW,78.75,few clouds,12.524,-70.027,
416,Dakar,SN,69.93,clear sky,14.6937,-17.4441,
421,Codajas,BR,73.08,overcast clouds,-3.8367,-62.0569,
422,Acarau,BR,77.63,clear sky,-2.8856,-40.12,
424,Cockburn Town,TC,75.81,clear sky,21.4612,-71.1419,
425,Hervey Bay,AU,77.04,light rain,-25.2986,152.8535,
426,Kulhudhuffushi,MV,80.85,few clouds,6.6221,73.07,
428,Pizarro,CO,76.51,scattered clouds,4.9533,-77.366,
